PARADA;PARTIDA;LINHA;DESTINO
5;04:50;L002/10;METRÔ SANTANA
3;04:50;L003/10;VILA RICA
1;04:50;L007/10;LAUZANE PAULISTA
2;04:50;L42-VP2;ISOLINA MAZZEI (VIA SANTANA)
6;04:51;L009/10;ISOLINA MAZZEI (VIA HORTO)
4;04:52;L004/10;UBS LADEIRA ROSA (CIRCULAR)
1;04:53;L007/22;LAUZANE PAULISTA (SEMI EXPRESSO)
3;04:55;L005/10;TERM. CACHOEIRINHA
6;04:55;L007/42;GENEVE
4;04:57;L006/10;UBS LADEIRA ROSA (EXPRESSO)
8;05:00;L29P/10;TERMINAL PINHEIROS
7;05:02;L010/10;JARDIM CECY
6;05:41;L009/10;ISOLINA MAZZEI (VIA HORTO)
1;05:42;L007/10;LAUZANE PAULISTA
6;05:49;L007/42;GENEVE
3;06:00;L005/10;TERM. CACHOEIRINHA
1;06:13;L007/22;LAUZANE PAULISTA (SEMI EXPRESSO)
4;06:24;L004/10;UBS LADEIRA ROSA (CIRCULAR)
6;06:31;L009/10;ISOLINA MAZZEI (VIA HORTO)
1;06:34;L007/10;LAUZANE PAULISTA
4;06:36;L006/10;UBS LADEIRA ROSA (EXPRESSO)
3;06:40;L003/10;VILA RICA
7;06:42;L010/10;JARDIM CECY
6;06:43;L007/42;GENEVE
2;06:50;L42-VP2;ISOLINA MAZZEI (VIA SANTANA)
3;07:05;L005/10;TERM. CACHOEIRINHA
6;07:21;L009/10;ISOLINA MAZZEI (VIA HORTO)
1;07:26;L007/10;LAUZANE PAULISTA
1;07:33;L007/22;LAUZANE PAULISTA (SEMI EXPRESSO)
6;07:37;L007/42;GENEVE
5;07:50;L002/10;METRÔ SANTANA
4;07:56;L004/10;UBS LADEIRA ROSA (CIRCULAR)
8;08:00;L29P/10;TERMINAL PINHEIROS
3;08:10;L005/10;TERM. CACHOEIRINHA
6;08:11;L009/10;ISOLINA MAZZEI (VIA HORTO)
4;08:15;L006/10;UBS LADEIRA ROSA (EXPRESSO)
1;08:18;L007/10;LAUZANE PAULISTA
7;08:22;L010/10;JARDIM CECY
6;08:31;L007/42;GENEVE
3;08:40;L003/10;VILA RICA
2;08:50;L42-VP2;ISOLINA MAZZEI (VIA SANTANA)
1;08:53;L007/22;LAUZANE PAULISTA (SEMI EXPRESSO)
6;09:01;L009/10;ISOLINA MAZZEI (VIA HORTO)
1;09:10;L007/10;LAUZANE PAULISTA
3;09:15;L005/10;TERM. CACHOEIRINHA
6;09:25;L007/42;GENEVE
4;09:28;L004/10;UBS LADEIRA ROSA (CIRCULAR)
6;09:51;L009/10;ISOLINA MAZZEI (VIA HORTO)
4;09:54;L006/10;UBS LADEIRA ROSA (EXPRESSO)
7;10:02;L010/10;JARDIM CECY
1;10:13;L007/22;LAUZANE PAULISTA (SEMI EXPRESSO)
6;10:19;L007/42;GENEVE
3;10:20;L005/10;TERM. CACHOEIRINHA
3;10:40;L003/10;VILA RICA
6;10:41;L009/10;ISOLINA MAZZEI (VIA HORTO)
1;10:50;L007/10;LAUZANE PAULISTA
5;10:50;L002/10;METRÔ SANTANA
2;10:50;L42-VP2;ISOLINA MAZZEI (VIA SANTANA)
8;11:00;L29P/10;TERMINAL PINHEIROS
4;11:00;L004/10;UBS LADEIRA ROSA (CIRCULAR)
6;11:13;L007/42;GENEVE
3;11:25;L005/10;TERM. CACHOEIRINHA
6;11:31;L009/10;ISOLINA MAZZEI (VIA HORTO)
4;11:33;L006/10;UBS LADEIRA ROSA (EXPRESSO)
1;11:33;L007/22;LAUZANE PAULISTA (SEMI EXPRESSO)
7;11:42;L010/10;JARDIM CECY
6;12:07;L007/42;GENEVE
6;12:21;L009/10;ISOLINA MAZZEI (VIA HORTO)
1;12:30;L007/10;LAUZANE PAULISTA
3;12:30;L005/10;TERM. CACHOEIRINHA
3;12:40;L003/10;VILA RICA
2;12:50;L42-VP2;ISOLINA MAZZEI (VIA SANTANA)
1;12:53;L007/22;LAUZANE PAULISTA (SEMI EXPRESSO)
4;13:00;L004/10;UBS LADEIRA ROSA (CIRCULAR)
6;13:01;L007/42;GENEVE
6;13:11;L009/10;ISOLINA MAZZEI (VIA HORTO)
4;13:12;L006/10;UBS LADEIRA ROSA (EXPRESSO)
7;13:22;L010/10;JARDIM CECY
3;13:35;L005/10;TERM. CACHOEIRINHA
5;13:50;L002/10;METRÔ SANTANA
6;13:55;L007/42;GENEVE
8;14:00;L29P/10;TERMINAL PINHEIROS
6;14:01;L009/10;ISOLINA MAZZEI (VIA HORTO)
1;14:10;L007/10;LAUZANE PAULISTA
1;14:13;L007/22;LAUZANE PAULISTA (SEMI EXPRESSO)
3;14:40;L005/10;TERM. CACHOEIRINHA
3;14:45;L003/10;VILA RICA
6;14:49;L007/42;GENEVE
2;14:50;L42-VP2;ISOLINA MAZZEI (VIA SANTANA)
4;14:51;L006/10;UBS LADEIRA ROSA (EXPRESSO)
6;14:51;L009/10;ISOLINA MAZZEI (VIA HORTO)
4;15:00;L004/10;UBS LADEIRA ROSA (CIRCULAR)
7;15:02;L010/10;JARDIM CECY
1;15:33;L007/22;LAUZANE PAULISTA (SEMI EXPRESSO)
6;15:41;L009/10;ISOLINA MAZZEI (VIA HORTO)
6;15:43;L007/42;GENEVE
3;15:45;L005/10;TERM. CACHOEIRINHA
1;15:50;L007/10;LAUZANE PAULISTA
4;16:30;L006/10;UBS LADEIRA ROSA (EXPRESSO)
6;16:31;L009/10;ISOLINA MAZZEI (VIA HORTO)
6;16:37;L007/42;GENEVE
3;16:40;L003/10;VILA RICA
7;16:42;L010/10;JARDIM CECY
1;16:42;L007/10;LAUZANE PAULISTA
5;16:50;L002/10;METRÔ SANTANA
3;16:50;L005/10;TERM. CACHOEIRINHA
2;16:50;L42-VP2;ISOLINA MAZZEI (VIA SANTANA)
1;16:53;L007/22;LAUZANE PAULISTA (SEMI EXPRESSO)
4;17:00;L004/10;UBS LADEIRA ROSA (CIRCULAR)
8;17:00;L29P/10;TERMINAL PINHEIROS
6;17:21;L009/10;ISOLINA MAZZEI (VIA HORTO)
6;17:31;L007/42;GENEVE
1;17:34;L007/10;LAUZANE PAULISTA
3;17:55;L005/10;TERM. CACHOEIRINHA
4;18:09;L006/10;UBS LADEIRA ROSA (EXPRESSO)
6;18:11;L009/10;ISOLINA MAZZEI (VIA HORTO)
1;18:13;L007/22;LAUZANE PAULISTA (SEMI EXPRESSO)
7;18:22;L010/10;JARDIM CECY
6;18:25;L007/42;GENEVE
1;18:26;L007/10;LAUZANE PAULISTA
3;18:40;L003/10;VILA RICA
2;18:50;L42-VP2;ISOLINA MAZZEI (VIA SANTANA)
3;19:00;L005/10;TERM. CACHOEIRINHA
4;19:00;L004/10;UBS LADEIRA ROSA (CIRCULAR)
6;19:01;L009/10;ISOLINA MAZZEI (VIA HORTO)
6;19:19;L007/42;GENEVE
1;19:33;L007/22;LAUZANE PAULISTA (SEMI EXPRESSO)
1;19:42;L007/10;LAUZANE PAULISTA
4;19:48;L006/10;UBS LADEIRA ROSA (EXPRESSO)
5;19:50;L002/10;METRÔ SANTANA
6;19:51;L009/10;ISOLINA MAZZEI (VIA HORTO)
8;20:00;L29P/10;TERMINAL PINHEIROS
7;20:02;L010/10;JARDIM CECY
3;20:05;L005/10;TERM. CACHOEIRINHA
6;20:13;L007/42;GENEVE
3;20:40;L003/10;VILA RICA
6;20:41;L009/10;ISOLINA MAZZEI (VIA HORTO)
2;20:50;L42-VP2;ISOLINA MAZZEI (VIA SANTANA)
1;20:53;L007/22;LAUZANE PAULISTA (SEMI EXPRESSO)
4;21:00;L004/10;UBS LADEIRA ROSA (CIRCULAR)
6;21:07;L007/42;GENEVE
3;21:10;L005/10;TERM. CACHOEIRINHA
4;21:27;L006/10;UBS LADEIRA ROSA (EXPRESSO)
6;21:31;L009/10;ISOLINA MAZZEI (VIA HORTO)
3;22:15;L005/10;TERM. CACHOEIRINHA
5;22:50;L002/10;METRÔ SANTANA
2;22:50;L42-VP2;ISOLINA MAZZEI (VIA SANTANA)
