PARADA;PARTIDA;BG_COLOR;TXT_COLOR;LINHA;DESTINO;CARRO
02;04:40;#FFD966;#000000;L42-VP2;ISOLINA MAZZEI (VIA SANTANA);48-02540
03;04:40;#806000;#FFFFFF;L003/10;VILA RICA;P 2034
05;04:40;#203764;#FFFFFF;L002/10;METRÔ SANTANA;P 2030
06;04:40;#C00000;#FFFFFF;L009/10;ISOLINA MAZZEI (VIA HORTO);A 2070
04;04:42;#00B0F0;#FFFFFF;L004/10;UBS LADEIRA ROSA (CIRCULAR);P 2037
08;04:45;#C65911;#FFFFFF;L005/10;TERM. CACHOEIRINHA;P 2041
01;04:45;#92D050;#FFFFFF;L007/42;GENEVE;P 2305
02;04:47;#7030A0;#FFFFFF;L006/10;UBS LADEIRA ROSA (EXPRESSO);P 2043
07;04:52;#5B9BD5;#FFFFFF;L010/10;JARDIM CECY;P 2311
08;05:00;#000000;#FFFFFF;L29P/10;TERMINAL PINHEIROS;A 1990
02;05:02;#FFD966;#000000;L42-VP2;ISOLINA MAZZEI (VIA SANTANA);48-02541
03;05:03;#C65911;#FFFFFF;L005/10;TERM. CACHOEIRINHA;P 2042
06;05:04;#C00000;#FFFFFF;L009/10;ISOLINA MAZZEI (VIA HORTO);A 2071
04;05:06;#00B0F0;#FFFFFF;L004/10;UBS LADEIRA ROSA (CIRCULAR);P 2038
07;05:12;#5B9BD5;#FFFFFF;L010/10;JARDIM CECY;P 2312
06;05:13;#92D050;#FFFFFF;L007/42;GENEVE;P 2306
03;05:20;#806000;#FFFFFF;L003/10;VILA RICA;P 2035
02;05:24;#FFD966;#000000;L42-VP2;ISOLINA MAZZEI (VIA SANTANA);48-02542
05;05:25;#525252;#FFFFFF;L008/42;JARDIM CENTENÁRIO (CIRC.);P 2307
08;05:27;#203764;#FFFFFF;L002/10;METRÔ SANTANA;P 2031
06;05:28;#C00000;#FFFFFF;L009/10;ISOLINA MAZZEI (VIA HORTO);A 2072
04;05:30;#00B0F0;#FFFFFF;L004/10;UBS LADEIRA ROSA (CIRCULAR);P 2039
07;05:32;#5B9BD5;#FFFFFF;L010/10;JARDIM CECY;P 2313
04;05:37;#7030A0;#FFFFFF;L006/10;UBS LADEIRA ROSA (EXPRESSO);P 2044
06;05:41;#92D050;#FFFFFF;L007/42;GENEVE;P 2305
03;05:45;#C65911;#FFFFFF;L005/10;TERM. CACHOEIRINHA;P 2041
02;05:46;#FFD966;#000000;L42-VP2;ISOLINA MAZZEI (VIA SANTANA);48-02543
05;05:47;#525252;#FFFFFF;L008/42;JARDIM CENTENÁRIO (CIRC.);P 2308
07;05:52;#5B9BD5;#FFFFFF;L010/10;JARDIM CECY;P 2314
06;05:52;#C00000;#FFFFFF;L009/10;ISOLINA MAZZEI (VIA HORTO);A 2073
04;05:54;#00B0F0;#FFFFFF;L004/10;UBS LADEIRA ROSA (CIRCULAR);P 2040
03;06:00;#806000;#FFFFFF;L003/10;VILA RICA;P 2036
08;06:07;#C65911;#FFFFFF;L005/10;TERM. CACHOEIRINHA;P 2042
02;06:08;#FFD966;#000000;L42-VP2;ISOLINA MAZZEI (VIA SANTANA);48-02544
05;06:09;#525252;#FFFFFF;L008/42;JARDIM CENTENÁRIO (CIRC.);P 2309
06;06:09;#92D050;#FFFFFF;L007/42;GENEVE;P 2306
07;06:12;#5B9BD5;#FFFFFF;L010/10;JARDIM CECY;P 2311
08;06:15;#203764;#FFFFFF;L002/10;METRÔ SANTANA;P 2032
06;06:16;#C00000;#FFFFFF;L009/10;ISOLINA MAZZEI (VIA HORTO);A 2074
04;06:18;#00B0F0;#FFFFFF;L004/10;UBS LADEIRA ROSA (CIRCULAR);P 2037
04;06:27;#7030A0;#FFFFFF;L006/10;UBS LADEIRA ROSA (EXPRESSO);P 2043
02;06:30;#FFD966;#000000;L42-VP2;ISOLINA MAZZEI (VIA SANTANA);P 2300
05;06:31;#525252;#FFFFFF;L008/42;JARDIM CENTENÁRIO (CIRC.);P 2310
07;06:32;#5B9BD5;#FFFFFF;L010/10;JARDIM CECY;P 2312
01;06:32;#FFC000;#000000;L007/10;LAUZANE PAULISTA;A 2083
08;06:35;#FF0000;#FFFFFF;L007/22;LAUZANE PAULISTA (SEMI EXPRESSO);P 2047
06;06:37;#92D050;#FFFFFF;L007/42;GENEVE;P 2305
03;06:40;#806000;#FFFFFF;L003/10;VILA RICA;P 2034
01;06:40;#C00000;#FFFFFF;L009/10;ISOLINA MAZZEI (VIA HORTO);A 2075
